run_id,plot_size_mb,deadline_s,commitment_ratio,energy_j,energy_wh,avg_block_interval,avg_tx_rate,n_deadlocks,deadlock_rate,p_51_attack,gini,effective_capacity_tib,throughput_efficiency
5485,4.554647578383653,210.89433654560708,0.32216683972711524,1034.78806868433,0.28744113019009165,217.6351747224831,1517.1832179064927,121,0.242,0.3422665282183078,0.47679617100055666,1.3993801273332786e-06,0.082
5486,6.197681174953375,197.95739602204165,0.33236830331571554,1154.3945813990517,0.3206651614997366,195.56334244432568,1480.9447965166341,121,0.242,0.3341053573474275,0.47800237943717555,1.9644859090909993e-06,0.14
5487,5.258296538276149,210.36708470515796,0.3396112634584069,1015.7732528012037,0.2821592368892233,209.1716512467333,1535.3437396592965,124,0.248,0.32831098923327445,0.4892798045898461,1.7030494031934073e-06,0.082
5488,7.168752572305532,177.13747789508565,0.3512512230178153,810.585443919558,0.22516262331098832,173.29311881388642,1481.668755650367,119,0.238,0.3189990215857477,0.468468249057106,2.401383503469875e-06,0.232
5489,5.745243187733478,203.97996513683748,0.32159171889529103,936.0615126849021,0.26001708685691727,209.2288247773952,1493.6123921926837,111,0.222,0.34272662488376715,0.4479949449739001,1.7620302507540421e-06,0.136
5490,6.761929717775833,183.16802180465945,0.34321458829043905,982.8903962839024,0.27302511007886177,180.90176283792502,1507.5952099058898,122,0.244,0.3254283293676487,0.4804492691213299,2.2132806054452106e-06,0.182
5492,6.192991645849452,189.46542818104305,0.3323208338341059,929.664992072705,0.2582402755757514,179.71131198296837,1498.0981414367293,115,0.23,0.33414333293271525,0.4561049630024016,1.962719104458181e-06,0.172
5491,6.6552855575106715,195.21369425881048,0.34132338970932524,957.1243970966568,0.2658678880824047,200.6851519425101,1508.4075909613427,115,0.23,0.32694128823253976,0.4723933048081189,2.166370988820132e-06,0.156
5493,6.880250035453806,200.56128602490753,0.32733974082766193,853.1743785720723,0.23699288293668674,196.7023151877563,1491.7176509879164,120,0.24,0.3381282073378704,0.45388416905234463,2.147845519480668e-06,0.142
5495,6.350327234806097,227.00446921474776,0.35230232976626874,1159.8125333311389,0.3221701481475386,234.47366324513325,1466.1830219463604,112,0.224,0.31815813618698496,0.4666351377495539,2.13359363517797e-06,0.038
5494,7.394445347450739,207.4403612563097,0.30913747211306575,1248.2814653943126,0.34674485149842016,212.0522248068424,1515.964651310542,110,0.22,0.3526900223095474,0.4697566634330019,2.180004255665914e-06,0.082
5496,6.468270787505105,194.50042323750947,0.34556463069333204,1082.8984307143448,0.30080511964287354,188.47542454249145,1499.6115294448384,124,0.248,0.3235482954453343,0.44923395847137954,2.1316581782423683e-06,0.168
5498,7.073801870312204,202.49604758487584,0.34044077677891454,1180.7380365312908,0.32798278792535857,193.93498784328304,1581.9899736432944,135,0.27,0.3276473785768683,0.4781455081126804,2.296648601063943e-06,0.104
5497,6.490997560372385,217.7545169658276,0.361252128804241,1115.517467581765,0.3098659632171569,226.68274867103202,1534.367654403613,115,0.23,0.31099829695660713,0.44114858594664275,2.23625820803419e-06,0.066
5499,7.443956048824824,179.11389209520644,0.3583253847894427,1016.5400937614311,0.2823722482670642,189.00572600289598,1469.5487899975274,119,0.238,0.3133396921684458,0.4654433454725882,2.5437912135609195e-06,0.202
5500,6.893676414927384,196.71607825038438,0.3355010708017632,1138.7746526475958,0.3163262924021099,189.08081108314087,1541.355464611054,130,0.26,0.33159914335858937,0.4864215038149931,2.2056921186151483e-06,0.16
5501,7.6385065695925505,209.4640203629484,0.32975767880032303,1068.17547113347,0.2967154086481861,220.2864110507387,1457.7495963086128,106,0.212,0.3361938569597415,0.44425275752031257,2.4021684607409073e-06,0.088
5503,5.342817079249781,204.21263048950706,0.3341215707721358,1149.1414606801281,0.3192059613000356,197.69348588785093,1469.9039393592172,121,0.242,0.33270274338229133,0.4797353327033372,1.7024521206542315e-06,0.152
5502,5.9257433703960025,192.30796115215279,0.33502842373762204,982.452927611608,0.2729035910032244,185.4685164809124,1508.3939995428423,112,0.224,0.3319772610099023,0.5024399287641726,1.8933224304746976e-06,0.154
5504,6.752990007233702,193.66079925208106,0.3592441799142563,994.7206291336842,0.2763112858704678,192.82935134258935,1430.4611990410085,114,0.228,0.31260465606859494,0.44267876822745833,2.313587529294814e-06,0.178
5505,7.4469253199196555,205.85242080479668,0.3280099606045916,922.2017238111067,0.2561671455030852,194.99188713501883,1565.4607607569753,141,0.282,0.3375920315163267,0.4756207774413601,2.3295075233575645e-06,0.1
